model_name,threshold,sif_precision,sif_recall,sif_f1,tp,fp,tn,fn
TestModel,0.05,0.1053,1.0,0.1905,10,85,5,0
TestModel,0.1,0.1111,1.0,0.2,10,80,10,0
TestModel,0.15,0.1176,1.0,0.2105,10,75,15,0
TestModel,0.2,0.125,1.0,0.2222,10,70,20,0
TestModel,0.25,0.1333,1.0,0.2353,10,65,25,0
TestModel,0.3,0.1429,1.0,0.25,10,60,30,0
TestModel,0.35,0.1538,1.0,0.2667,10,55,35,0
TestModel,0.4,0.1667,1.0,0.2857,10,50,40,0
TestModel,0.45,0.1818,1.0,0.3077,10,45,45,0
TestModel,0.5,0.2,1.0,0.3333,10,40,50,0
TestModel,0.55,0.2222,1.0,0.3636,10,35,55,0
TestModel,0.6,0.25,1.0,0.4,10,30,60,0
TestModel,0.65,0.2857,1.0,0.4444,10,25,65,0
TestModel,0.7,0.3333,1.0,0.5,10,20,70,0
TestModel,0.75,0.4,1.0,0.5714,10,15,75,0
TestModel,0.8,0.5,1.0,0.6667,10,10,80,0
TestModel,0.85,0.6667,1.0,0.8,10,5,85,0
TestModel,0.9,1.0,1.0,1.0,10,0,90,0
TestModel,0.95,1.0,0.5,0.6667,5,0,90,5
